Card Name,Card Code,Days Since Print,Rarity,Price,Availability
Swords of Revealing Light,DPYG-EN018,19,Common,0.29,Out of Stock
Alexandrite Dragon,YSKR-EN011,3491,Common,0.39,Out of Stock
Terrene Toothed Tsuchinoko,SHSP-EN043,4555,Common,0.29,Out of Stock
Realm Eulogy,AGOV-EN053,586,Common,0.29,Out of Stock
Ravenous Vendread,POTE-EN064,1363,Common,0.29,Out of Stock
Spright Jet,POTE-EN004,19,Super Rare,0.49,Out of Stock
F.A. Hang On Mach,COTD-EN087,2798,Common,0.29,Out of Stock
Rank-Up-Magic Astral Force,LVAL-EN059,586,Ultra Rare,0.49,Out of Stock
Rasetsu,SHSP-EN036,4555,Common,0.29,Out of Stock
Merry Melffys,POTE-EN045,586,Common,0.29,Out of Stock
King's Knight,DPYG-EN011,502,Common,0.29,Out of Stock
Damage Gate,YSKR-EN048,4289,Common,0.29,Out of Stock
Transcendosaurus Exaraptor,AGOV-EN044,586,Common,0.29,Out of Stock
Punishment Dragon,COTD-EN028,538,Ultra Rare,0.79,Out of Stock
Bonding - DHO,LEDU-EN039,1297,Rare,0.39,Out of Stock
Ignoble Knight of High Laundsallyn,SHSP-EN086,4177,Secret Rare,2.49,Out of Stock
Skilled White Magician,YSYR-EN012,978,Common,0.29,Out of Stock
Emerging Emergency Rescute Rescue,COTD-EN061,2798,Common,0.29,Out of Stock
Runick Golden Droplet,TAMA-EN035,964,Super Rare,0.49,Out of Stock
Ghostrick Scare,SHSP-EN074,4261,Common,0.59,Out of Stock
Stamping Destruction,YSKR-EN034,1125,Common,0.29,Out of Stock
Cross Keeper,POTE-EN002,964,Common,0.29,Out of Stock
Spright Blue,POTE-EN003,19,Secret Rare,4.49,Out of Stock
Mecha Phantom Beast Kalgriffin,SHSP-EN028,4261,Rare,0.39,Out of Stock
Mystical Elf,YSYR-EN002,1104,Common,0.39,Out of Stock
Wattsychic Fighting Porter,AGOV-EN085,922,Common,0.29,Out of Stock
Ghostrick Jackfrost,LVAL-EN021,2736,Common,0.29,Out of Stock
Cybernetic Cyclopean,YSKR-EN021,4527,Common,0.29,Out of Stock
Life Extreme,POTE-EN099,1363,Common,0.29,Out of Stock
Gagaga Gardna,NUMH-EN021,4450,Super Rare,0.49,Out of Stock
Shared Ride,LVAL-EN070,1993,Secret Rare,10.09,Out of Stock
Gimmick Puppet Nightmare,NUMH-EN009,796,Super Rare,0.99,Out of Stock
Number 44: Sky Pegasus,NUMH-EN028,4289,Secret Rare,3.09,Out of Stock
Zombina,COTD-EN033,1125,Common,0.29,Out of Stock
Satellite Cannon,SDCR-EN012,4464,Common,0.49,Out of Stock
The First Monarch,LVAL-EN089,1993,Secret Rare,1.09,Out of Stock
Trickstar Lilybell,COTD-EN006,2798,Rare,0.69,Out of Stock
"Gwenhwyfar, Queen of Noble Arms",LVAL-EN086,4177,Secret Rare,5.79,Out of Stock
Magicalized Duston Mop,SHSP-EN069,4555,Common,0.29,Out of Stock
Armored Kappa,SHSP-EN097,4555,Super Rare,1.69,Out of Stock
Hugin the Runick Wings,TAMA-EN037,964,Ultra Rare,2.69,Out of Stock
Stars Align Above the Shrine,AGOV-EN061,922,Common,0.29,Out of Stock
Vanguard of the Underground Emperor,POTE-EN081,586,Common,0.29,Out of Stock
Rose Papillon,AGOV-EN093,586,Common,0.29,Out of Stock
Overlay Booster,LVAL-EN006,271,Common,0.29,Out of Stock
Mighty Warrior,LVAL-EN096,4478,Common,0.39,Out of Stock
Polymerization,DPYG-EN020,271,Super Rare,3.09,Out of Stock
Gorgonic Ghoul,LVAL-EN013,4261,Common,0.29,Out of Stock
Bujintei Tsukuyomi,LVAL-EN054,3218,Ultra Rare,0.69,Out of Stock
Abominable Unchained Soul,VASM-EN051,894,Rare,0.39,Out of Stock
Rank-Down-Magic Numeron Fall,LVAL-EN060,4478,Rare,0.39,Out of Stock
March of the Dark Brigade,COTD-EN059,3190,Ultra Rare,0.59,Out of Stock
Discordance of the Tistina,AGOV-EN092,922,Common,0.29,Out of Stock
Baby Raccoon Tantan,SHSP-EN015,4261,Common,0.29,Out of Stock
Rush Recklessly,YSKR-EN031,1104,Common,0.49,Out of Stock
Danger! Chupacabra!,SDCK-EN023,236,Common,0.29,Out of Stock
Silent Swordsman LV5,YSYR-EN018,3512,Common,0.28,Out of Stock
Sweet Roommaid,AGOV-EN097,586,Common,0.29,Out of Stock
Lightforce Sword,DPYG-EN029,1104,Common,0.29,Out of Stock
Gemini Elf,YSYR-EN006,538,Common,1.29,Out of Stock
Inferno Fire Blast,LEDU-EN007,2126,Common,0.29,Out of Stock
Ghostrick Mansion,SHSP-EN062,4261,Common,0.39,Out of Stock
Honest,VASM-EN046,320,Rare,0.39,Out of Stock
Labrynth Labyrinth,TAMA-EN021,964,Super Rare,0.49,Out of Stock
Centur-Ion Bonds,VASM-EN022,586,Super Rare,0.49,Out of Stock
Gorgonic Gargoyle,LVAL-EN012,4261,Common,0.29,Out of Stock
Hydralander Orbit,POTE-EN039,586,Common,0.29,Out of Stock
Eka the Flame Buddy,POTE-EN034,964,Super Rare,0.49,Out of Stock
Threatening Roar,YSKR-EN046,2630,Common,1.29,Out of Stock
Mementoal Tecuhtlica - Combined Creation,VASM-EN001,19,Quarter Century Secret Rare,44.29,Out of Stock
Morphtronic Telefon,POTE-EN093,1363,Common,0.29,Out of Stock
Vernusylph of the Flowering Fields,POTE-EN018,1363,Common,0.29,Out of Stock
Baby Raccoon Ponpoko,SHSP-EN014,1015,Common,0.29,Out of Stock
Cyberdark Horn,LEDU-EN026,1503,Common,0.49,Out of Stock
"Celestia, Lightsworn Angel",LART-EN036,796,Ultra Rare,2.99,Out of Stock
Amazoness Onslaught,LEDU-EN011,502,Rare,0.69,Out of Stock
Megaroid City,LEDU-EN031,2126,Rare,0.39,Out of Stock
Puppet Plant,YSKR-EN022,805,Common,0.29,Out of Stock
Limiter Removal,SDCR-EN023,586,Common,0.29,Out of Stock
Red Reign,SDCK-EN035,950,Common,0.29,Out of Stock
Red Warg,SDCK-EN012,950,Common,0.29,Out of Stock
Horus the Black Flame Dragon LV4,YSKR-EN019,4527,Common,1.09,Out of Stock
Absolute King Back Jack,SDCK-EN016,383,Common,0.29,Out of Stock
Swords at Dawn,SHSP-EN066,4177,Rare,0.39,Out of Stock
Cracking Dragon,COTD-EN014,2798,Super Rare,0.49,Out of Stock
Resonator Command,SDCK-EN029,950,Common,0.29,Out of Stock
Vaalmonica Intonare,VASM-EN038,894,Super Rare,0.49,Out of Stock
Ghostrick Scare,SHSP-EN074,4261,Common,0.49,Out of Stock
T.G. All Clear,AGOV-EN050,922,Super Rare,0.49,Out of Stock
"Gaia Saber, the Lightning Shadow",COTD-EN051,2392,Secret Rare,0.99,Out of Stock
"Puralis, the Purple Pyrotile",SHSP-EN057,4555,Rare,0.39,Out of Stock
Vampire Grace,SHSP-EN031,1454,Common,0.29,Out of Stock
Widespread Ruin,YSKR-EN045,966,Common,0.69,Out of Stock
Tribute to the Doomed,YSKR-EN030,1104,Common,0.39,Out of Stock
Interplanetarypurplythorny Dragon,YSKR-EN027,3477,Common,0.29,Out of Stock
Ghostrick Witch,SHSP-EN018,4261,Common,0.39,Out of Stock
Nightmell the Dark Bonder,POTE-EN038,964,Common,0.29,Out of Stock
Brain Control,DPYG-EN024,315,Common,0.59,Out of Stock
Supreme King Dragon Odd-Eyes,COTD-EN015,831,Rare,0.39,Out of Stock
Gillagillancer,LVAL-EN003,4261,Common,0.29,Out of Stock
"Celestial Wolf Lord, Blue Sirius",SHSP-EN090,4261,Ultra Rare,0.59,Out of Stock
Night Papilloperative,NUMH-EN048,4674,Super Rare,0.49,Out of Stock
Performapal Trumpanda,COTD-EN095,3190,Common,0.29,Out of Stock
Green Gadget,DPYG-EN012,586,Common,0.29,Out of Stock
Returned of the Tistina,AGOV-EN087,922,Common,0.29,Out of Stock
White Duston,LVAL-EN001,4478,Common,0.79,Out of Stock
"Tistina, the Divinity that Defies Darkness",AGOV-EN089,922,Ultra Rare,0.49,Out of Stock
Blade Knight,YSKR-EN018,789,Common,0.89,Out of Stock
Malevolent Catastrophe,SDCR-EN034,502,Common,0.49,Out of Stock
Bujintei Kagutsuchi,SHSP-EN053,4261,Ultra Rare,4.39,Out of Stock
Backup Secretary,COTD-EN002,1839,Common,0.29,Out of Stock
Mythic Water Dragon,SHSP-EN011,4261,Common,0.59,Out of Stock
Secret Sanctuary of the Spellcasters,SHSP-EN095,4555,Rare,0.49,Out of Stock
Tackle Crusader,LVAL-EN043,1839,Common,0.49,Out of Stock
Heavy Storm Duster,COTD-EN076,1895,Super Rare,0.49,Out of Stock
Opticlops,YSKR-EN005,1980,Common,0.29,Out of Stock
Gravekeeper's Oracle,LVAL-EN034,502,Ultra Rare,1.79,Out of Stock
Noble Arms - Excaliburn,SHSP-EN088,4177,Super Rare,2.09,Out of Stock
Cyberdark Keel,LEDU-EN028,1503,Common,0.29,Out of Stock
Startling Stare of the Snake-Eyes,AGOV-EN075,586,Common,0.29,Out of Stock
Centur-Ion Trudea,VASM-EN017,586,Ultra Rare,8.99,Out of Stock
Bujingi Boar,SHSP-EN025,4261,Common,0.29,Out of Stock
Genomix Fighter,SHSP-EN039,4261,Ultra Rare,0.49,Out of Stock
Mystical Space Typhoon,SDCR-EN026,19,Common,0.39,Out of Stock
Bearblocker,TAMA-EN050,1342,Rare,0.39,Out of Stock
Ghostrick Vanish,SHSP-EN073,4261,Common,0.29,Out of Stock
Intrigue Shield,SHSP-EN072,4289,Common,0.29,Out of Stock
Full Armored Dark Knight Lancer,AGOV-EN041,586,Quarter Century Secret Rare,28.99,Out of Stock
Norito the Moral Leader,NUMH-EN039,2861,Secret Rare,1.39,Out of Stock
Blue Duston,SHSP-EN045,4555,Common,0.29,Out of Stock
Rage of Kairyu-Shin,LEDU-EN017,1412,Rare,0.39,Out of Stock
Battlin' Boxing Spirits,SHSP-EN060,992,Super Rare,0.59,Out of Stock
Overlay Sentinel,LVAL-EN005,4478,Common,0.29,Out of Stock
Exchange,DPYG-EN021,978,Rare,0.39,Out of Stock
Number Wall,NUMH-EN058,4674,Secret Rare,1.29,Out of Stock
Vanquish Soul Jiaolong,AGOV-EN018,922,Quarter Century Secret Rare,60.99,Out of Stock
Sylvan Peaskeeper,LVAL-EN015,4261,Rare,0.39,Out of Stock
Morphtronic Scannen,POTE-EN095,1363,Common,0.29,Out of Stock
Gimmick Puppet Scissor Arms,NUMH-EN008,4674,Super Rare,1.29,Out of Stock
King's Sarcophagus,AGOV-EN058,96,Ultra Rare,2.09,Out of Stock
"Loris, Lady of Lament",POTE-EN092,586,Super Rare,0.49,Out of Stock
Twin-Headed Behemoth,YSKR-EN013,1148,Common,0.29,Out of Stock
Cosmic Cyclone,TAMA-EN053,705,Rare,0.39,Out of Stock
Melffy Staring Contest,POTE-EN063,964,Super Rare,0.49,Out of Stock
Divine Dragon Knight Felgrand,SHSP-EN056,4261,Secret Rare,14.99,Out of Stock
Magical King Moonstar,SDCK-EN015,950,Common,0.29,Out of Stock
Trickstar Light Stage,COTD-EN053,586,Ultra Rare,0.69,Out of Stock
Dark Honest,VASM-EN047,894,Rare,0.39,Out of Stock
Ib the World Chalice Priestess,COTD-EN048,2798,Super Rare,0.49,Out of Stock
Bujingi Crow,SHSP-EN023,4261,Rare,0.39,Out of Stock
Red-Eyes Retro Dragon,LEDU-EN005,2126,Common,0.49,Out of Stock
Stronghold the Moving Fortress,DPYG-EN030,2449,Common,0.29,Out of Stock
Soul Taker,YSYR-EN036,3820,Common,0.69,Out of Stock
Crimson Gaia,SDCK-EN026,19,Common,0.99,Out of Stock
Exosister Martha,POTE-EN025,964,Starlight Rare,124.99,Out of Stock
Ignoble Knight of High Laundsallyn,SHSP-EN086,4177,Secret Rare,3.79,Out of Stock
Sylvan Blessing,LVAL-EN073,4261,Common,0.29,Out of Stock
Princess Cologne,NUMH-EN050,1454,Secret Rare,0.99,Out of Stock
Imperial Tombs of Necrovalley,LVAL-EN076,1993,Secret Rare,1.89,Out of Stock
Cyberdark Cannon,LEDU-EN022,761,Rare,0.49,Out of Stock
Red Dragon Archfiend,SDCK-EN045,586,Ultra Rare,1.69,Out of Stock
Kidmodo Dragon,SHSP-EN094,3491,Super Rare,1.39,Out of Stock
Mad Dog of Darkness,YSKR-EN009,1104,Common,0.29,Out of Stock
Dragon Shield,SHSP-EN061,4555,Common,0.29,Out of Stock
Poissonniere de Nouvelles,AGOV-EN019,922,Super Rare,0.59,Out of Stock
Storming Wynn,LART-EN038,1601,Ultra Rare,2.49,Out of Stock
Riryoku,LEDU-EN047,1297,Common,0.59,Out of Stock
Proto-Cyber Dragon,SDCR-EN005,1503,Common,0.29,Out of Stock
Runick Allure,TAMA-EN028,964,Rare,0.39,Out of Stock
Pitknight Filly,AGOV-EN084,586,Common,0.29,Out of Stock
Cyberdark Realm,SDCS-EN023,1657,Ultra Rare,0.79,Out of Stock
Magicians Unite,YSYR-EN035,2588,Common,0.29,Out of Stock
D.D.R. - Different Dimension Reincarnation,SDCR-EN025,1909,Common,0.69,Out of Stock
Snake-Eyes Flamberge Dragon,AGOV-EN010,538,Quarter Century Secret Rare,18.09,Out of Stock
Survival of the Fittest,SHSP-EN079,3302,Common,0.29,Out of Stock
Emblema Oath,VASM-EN021,586,Ultra Rare,24.09,Out of Stock
Emperor Tanuki's Critter Count,POTE-EN037,586,Super Rare,0.49,Out of Stock
Vivid Knight,SHSP-EN099,4555,Rare,0.39,Out of Stock
Sinful Spoils of Doom - Rciela,AGOV-EN055,586,Common,0.29,Out of Stock
Green Gadget,YSYR-EN019,586,Common,0.29,Out of Stock
Battlin' Boxing Spirits,SHSP-EN060,992,Super Rare,0.79,Out of Stock
Red Gadget,DPYG-EN013,586,Common,0.29,Out of Stock
Ghostrick Witch,SHSP-EN018,4261,Common,0.39,Out of Stock
Snake-Eye Oak,AGOV-EN008,586,Super Rare,0.49,Out of Stock
Rescue Ferret,COTD-EN029,2756,Secret Rare,0.99,Out of Stock
Tearlaments Merrli,POTE-EN012,1176,Common,0.29,Out of Stock
Veda Kalarcanum,AGOV-EN005,922,Super Rare,0.49,Out of Stock
Des Mosquito,YSKR-EN023,4527,Common,0.29,Out of Stock
Vampire Kingdom,SHSP-EN064,1454,Common,0.29,Out of Stock
S:P Little Knight,AGOV-EN046,47,Secret Rare,10.99,Out of Stock
Diffusion Wave-Motion,DPYG-EN023,2588,Common,0.29,Out of Stock
Ghost Sister & Spooky Dogwood,VASM-EN043,173,Rare,0.39,Out of Stock
Bujingi Pavo,LVAL-EN083,4261,Super Rare,0.49,Out of Stock
Gorgonic Golem,LVAL-EN011,4261,Common,0.29,Out of Stock
Gouki Riscorpio,COTD-EN011,2798,Rare,0.39,Out of Stock
"Lumina, Twilightsworn Shaman",LART-EN047,411,Ultra Rare,1.09,Out of Stock
Pot of Dichotomy,SHSP-EN065,3491,Secret Rare,4.09,Out of Stock
Archfiend's Ghastly Glitch,TAMA-EN026,964,Super Rare,0.49,Out of Stock
Heraldry Record,NUMH-EN059,4674,Super Rare,0.49,Out of Stock
Droll & Lock Bird,TAMA-EN047,173,Rare,1.39,Out of Stock
Electric Virus,YSYR-EN022,805,Common,0.59,Out of Stock
Therion Irregular,POTE-EN009,964,Ultra Rare,0.49,Out of Stock
Mementotlan Bone Back,VASM-EN010,894,Rare,0.39,Out of Stock
Number 65: Djinn Buster,SHSP-EN047,1041,Rare,0.49,Out of Stock
Baby Raccoon Tantan,SHSP-EN015,4261,Common,0.29,Out of Stock
Vaalmonica Chosen Melody,VASM-EN040,894,Super Rare,0.49,Out of Stock
Draco Berserker of the Tenyi,VASM-EN026,894,Rare,0.39,Out of Stock
Kurikara Divincarnate,POTE-EN031,19,Starlight Rare,68.99,Out of Stock
Snake-Eyes Flamberge Dragon,AGOV-EN010,538,Secret Rare,0.99,Out of Stock
Gogogo Giant,NUMH-EN020,2294,Super Rare,0.49,Out of Stock
Gravekeeper's Ambusher,LVAL-EN032,2588,Common,0.29,Out of Stock
"Mariña, Princess of Sunflowers",SHSP-EN040,2218,Super Rare,0.49,Out of Stock
Shinobaroness Shade Peacock,AGOV-EN028,922,Common,0.29,Out of Stock
The Legendary Fisherman II,LEDU-EN015,978,Super Rare,1.19,Out of Stock
Sylvan Guardioak,LVAL-EN019,4261,Common,0.29,Out of Stock
Battle Fader,SDCK-EN010,950,Common,0.29,Out of Stock
Spellbinding Circle,YSYR-EN041,1104,Common,0.59,Out of Stock
Loka Samsara,AGOV-EN073,586,Common,0.29,Out of Stock
The Legendary Fisherman,LART-EN020,978,Ultra Rare,5.39,Out of Stock
Dark Blade,YSYR-EN007,1980,Common,0.29,Out of Stock
Sinful Spoils of Betrayal - Silvera,AGOV-EN074,586,Super Rare,0.49,Out of Stock
Dragonic Tactics,YSKR-EN040,2973,Common,0.29,Out of Stock
Number 46: Dragluon,SHSP-EN050,4555,Super Rare,13.19,Out of Stock
Instant Contact,POTE-EN052,586,Secret Rare,1.99,Out of Stock
Summoned Skull,DPYG-EN002,538,Super Rare,3.39,Out of Stock
Ghostrick Dullahan,LVAL-EN053,1454,Rare,0.39,Out of Stock
Noble Knight Borz,SHSP-EN085,1015,Super Rare,0.79,Out of Stock
Bujingi Hare,LVAL-EN030,4261,Super Rare,3.39,Out of Stock
"Celestial Wolf Lord, Blue Sirius",SHSP-EN090,4261,Ultra Rare,0.49,Out of Stock
Ghostrick Ghoul,SHSP-EN000,4261,Super Rare,1.29,Out of Stock
Obedience Schooled,LVAL-EN088,271,Super Rare,1.19,Out of Stock
Lovely Labrynth of the Silver Castle,TAMA-EN014,19,Ultra Rare,0.99,Out of Stock
Three of a Kind,SDCR-EN031,4464,Common,0.29,Out of Stock
Full-Armored Xyz,AGOV-EN071,586,Common,0.29,Out of Stock
Number C65: King Overfiend,SHSP-EN048,4555,Rare,0.59,Out of Stock
Supreme King Dragon Starving Venom,COTD-EN038,3127,Rare,0.49,Out of Stock
Melffy Wally,POTE-EN022,586,Common,0.29,Out of Stock
Skelesaurus,SHSP-EN037,3302,Common,0.29,Out of Stock
Shinobaron Shade Peacock,AGOV-EN029,922,Common,0.29,Out of Stock
F.A. Circuit Grand Prix,COTD-EN088,2798,Common,0.29,Out of Stock
Cyber Dragon Nachster,SDCS-EN007,1657,Common,0.29,Out of Stock
"Lyla, Twilightsworn Enchantress",COTD-EN025,2798,Super Rare,0.49,Out of Stock
CXyz Battleship Cherry Blossom,NUMH-EN044,4674,Secret Rare,0.99,Out of Stock
Cyber Network,SDCR-EN029,1503,Common,0.29,Out of Stock
Cyber Dinosaur,SDCR-EN009,3127,Common,0.29,Out of Stock
Red Nova Dragon,SDCK-EN046,-9,Common,0.29,Out of Stock
Revendread Slayer,COTD-EN082,3071,Rare,0.79,Out of Stock
Geri the Runick Fangs,TAMA-EN039,964,Super Rare,0.49,Out of Stock
Vanquish Soul Jiaolong,AGOV-EN018,922,Ultra Rare,20.99,Out of Stock
Exosister Returnia,POTE-EN076,964,Super Rare,0.59,Out of Stock
